"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"e:\project_program\project_blockos\src\features\right-sidebar\preview\types.ts", "TypeScript", 0, 20, 0, 0, 1, 3, 24
"e:\project_program\project_blockos\src\features\right-sidebar\session-history\SessionHistoryPanelContainer.tsx", "TypeScript JSX", 0, 0, 46, 0, 4, 7, 57
"e:\project_program\project_blockos\src\features\right-sidebar\session-history\SessionHistoryPanelView.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 5, 95
"e:\project_program\project_blockos\src\features\right-sidebar\session-history\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\right-sidebar\session-history\mappers.ts", "TypeScript", 0, 26, 0, 0, 9, 5, 40
"e:\project_program\project_blockos\src\features\right-sidebar\session-history\types.ts", "TypeScript", 0, 12, 0, 0, 1, 2, 15
"e:\project_program\project_blockos\src\features\sidebar\explorer\components\ExplorerContainer.tsx", "TypeScript JSX", 0, 0, 277, 0, 0, 37, 314
"e:\project_program\project_blockos\src\features\sidebar\explorer\components\ExplorerView.tsx", "TypeScript JSX", 0, 0, 437, 0, 0, 12, 449
"e:\project_program\project_blockos\src\features\sidebar\explorer\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\explorer\components\mappers.ts", "TypeScript", 0, 40, 0, 0, 0, 5, 45
"e:\project_program\project_blockos\src\features\sidebar\explorer\components\types.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 16
"e:\project_program\project_blockos\src\features\sidebar\explorer\hooks\useExplorer.ts", "TypeScript", 0, 90, 0, 0, 0, 14, 104
"e:\project_program\project_blockos\src\features\sidebar\explorer\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\extensions\components\ExtensionsContainer.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 5, 27
"e:\project_program\project_blockos\src\features\sidebar\extensions\components\ExtensionsView.tsx", "TypeScript JSX", 0, 0, 111, 0, 0, 5, 116
"e:\project_program\project_blockos\src\features\sidebar\extensions\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\extensions\components\mappers.ts", "TypeScript", 0, 16, 0, 0, 6, 3, 25
"e:\project_program\project_blockos\src\features\sidebar\extensions\components\types.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 10
"e:\project_program\project_blockos\src\features\sidebar\extensions\hooks\useExtensions.ts", "TypeScript", 0, 22, 0, 0, 1, 6, 29
"e:\project_program\project_blockos\src\features\sidebar\extensions\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\outline\components\OutlineContainer.tsx", "TypeScript JSX", 0, 0, 25, 0, 1, 6, 32
"e:\project_program\project_blockos\src\features\sidebar\outline\components\OutlineView.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 4, 77
"e:\project_program\project_blockos\src\features\sidebar\outline\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\outline\components\mappers.ts", "TypeScript", 0, 12, 0, 0, 6, 3, 21
"e:\project_program\project_blockos\src\features\sidebar\outline\components\types.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"e:\project_program\project_blockos\src\features\sidebar\outline\hooks\useOutline.ts", "TypeScript", 0, 68, 0, 0, 4, 13, 85
"e:\project_program\project_blockos\src\features\sidebar\outline\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\components\PluginWorkspaceContainer.tsx", "TypeScript JSX", 0, 0, 40, 0, 1, 6, 47
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\components\PluginWorkspaceView.tsx", "TypeScript JSX", 0, 0, 130, 0, 0, 9, 139
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\components\mappers.ts", "TypeScript", 0, 14, 0, 0, 3, 2, 19
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\components\types.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 11
"e:\project_program\project_blockos\src\features\sidebar\plugin-workspace\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\search\components\SearchContainer.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 6, 33
"e:\project_program\project_blockos\src\features\sidebar\search\components\SearchView.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 5, 101
"e:\project_program\project_blockos\src\features\sidebar\search\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"e:\project_program\project_blockos\src\features\sidebar\search\components\mappers.ts", "TypeScript", 0, 12, 0, 0, 6, 3, 21
