"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"e:\project_program\project_blockos\src\storage\usageStore.ts", "TypeScript", 0, 71, 0, 0, 5, 8, 84
"e:\project_program\project_blockos\src\styles\css.d.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"e:\project_program\project_blockos\src\styles\global\design-tokens.css", "CSS", 250, 0, 0, 0, 44, 55, 349
"e:\project_program\project_blockos\src\styles\global\responsive.css", "CSS", 294, 0, 0, 0, 47, 67, 408
"e:\project_program\project_blockos\src\styles\global\touch-enhancements.css", "CSS", 252, 0, 0, 0, 61, 50, 363
"e:\project_program\project_blockos\src\styles\modules\ai.css", "CSS", 311, 0, 0, 0, 4, 51, 366
"e:\project_program\project_blockos\src\styles\modules\blocks.css", "CSS", 438, 0, 0, 0, 8, 76, 522
"e:\project_program\project_blockos\src\styles\modules\common-patterns.css", "CSS", 364, 0, 0, 0, 47, 76, 487
"e:\project_program\project_blockos\src\styles\modules\editor.css", "CSS", 312, 0, 0, 0, 3, 55, 370
"e:\project_program\project_blockos\src\styles\modules\panels.css", "CSS", 508, 0, 0, 0, 5, 90, 603
"e:\project_program\project_blockos\src\styles\shadcn-theme.css", "CSS", 103, 0, 0, 0, 55, 39, 197
"e:\project_program\project_blockos\src\test.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 2, 11
"e:\project_program\project_blockos\src\types\common\layout.ts", "TypeScript", 0, 17, 0, 0, 3, 3, 23
"e:\project_program\project_blockos\src\types\common\ocr.ts", "TypeScript", 0, 18, 0, 0, 0, 2, 20
"e:\project_program\project_blockos\src\types\common\plugin.ts", "TypeScript", 0, 34, 0, 0, 11, 11, 56
"e:\project_program\project_blockos\src\types\index.ts", "TypeScript", 0, 27, 0, 0, 2, 2, 31
"e:\project_program\project_blockos\src\types\models\block.ts", "TypeScript", 0, 203, 0, 0, 44, 37, 284
"e:\project_program\project_blockos\src\types\models\chat.ts", "TypeScript", 0, 17, 0, 0, 3, 3, 23
"e:\project_program\project_blockos\src\types\models\document.ts", "TypeScript", 0, 18, 0, 0, 2, 2, 22
"e:\project_program\project_blockos\src\types\models\project.ts", "TypeScript", 0, 21, 0, 0, 2, 2, 25
"e:\project_program\project_blockos\src\utils\date.ts", "TypeScript", 0, 48, 0, 0, 3, 6, 57
"e:\project_program\project_blockos\src\utils\index.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"e:\project_program\project_blockos\src\utils\markdown.ts", "TypeScript", 0, 56, 0, 0, 9, 7, 72
"e:\project_program\project_blockos\src\utils\uuid.ts", "TypeScript", 0, 7, 0, 0, 1, 1, 9
"e:\project_program\project_blockos\src\vite-env.d.ts", "TypeScript", 0, 6, 0, 0, 1, 3, 10
"Total", "-", 3175, 6746, 9950, 891, 1083, 2995, 24840
